room_id;host_id;room_type;reviews;good_rating;rating;overall_satisfaction;accommodates;bedrooms;price;last_modified;latitude;longitude
19109379;12800705;Entire home/apt;1;0;0;0;4;0;743;2017-06-29 15:03:54.132403;52.239081;21.002762
8403286;5488213;Entire home/apt;0;0;0;0;16;3;718;2017-06-29 15:52:08.867022;52.235048;21.020819
7768643;39317087;Entire home/apt;0;0;0;0;12;4;702;2017-06-29 15:03:53.461175;52.222912;21.011629
5907409;5488213;Entire home/apt;0;0;0;0;16;5;663;2017-06-29 15:52:59.184323;52.229539;20.993787
8922833;5488213;Entire home/apt;2;0;0;0;15;2;575;2017-06-29 15:36:17.632383;52.236634;21.021873
5907397;5488213;Entire home/apt;1;0;0;0;16;5;552;2017-06-29 15:03:53.470551;52.228995;20.991334
19078047;133211019;Entire home/apt;0;0;0;0;4;1;539;2017-06-29 15:03:53.465383;52.25648;21.047815
10360698;5488213;Entire home/apt;3;1;4;4;16;5;530;2017-06-29 15:03:53.467659;52.230018;20.992891
18833643;5488213;Entire home/apt;0;0;0;0;16;0;497;2017-06-29 15:03:52.088289;52.215694;21.020599
17868587;5488213;Entire home/apt;0;0;0;0;16;4;497;2017-06-29 15:03:52.093363;52.215242;21.02095
14856854;93027463;Private room;0;0;0;0;16;1;467;2017-06-29 13:40:11.835140;52.173681;20.946007
16234108;30923214;Entire home/apt;0;0;0;0;4;2;465;2017-06-29 15:03:52.050921;52.21699;21.019206
8765079;5488213;Entire home/apt;4;1;4;4;12;2;458;2017-06-29 15:03:52.090948;52.236554;21.020552
10331250;5488213;Entire home/apt;1;0;0;0;16;3;442;2017-06-29 15:03:52.085990;52.231255;20.989769
17631923;119909112;Entire home/apt;0;0;0;0;6;3;414;2017-06-29 15:03:52.035097;52.1631;21.073173
1069244;800327;Entire home/apt;7;1;4,5;04,05,2017;16;3;414;2017-06-29 15:03:52.040962;52.255452;21.048262
16907289;112857761;Entire home/apt;0;0;0;0;7;3;384;2017-06-29 15:03:52.080074;52.163519;21.076068
17822794;118102345;Entire home/apt;0;0;0;0;6;3;381;2017-06-29 15:03:52.053688;52.228755;21.010712
1029261;2384053;Entire home/apt;2;0;0;0;4;1;365;2017-06-29 15:03:52.071419;52.250587;20.986242
18779651;82499365;Entire home/apt;2;0;0;0;3;1;361;2017-06-29 15:03:52.056297;52.228995;21.01149
1878414;5874520;Entire home/apt;0;0;0;0;16;4;351;2017-06-29 15:03:52.083154;52.213091;21.023482
1727953;3509074;Entire home/apt;4;1;5;5;4;2;334;2017-06-29 15:03:52.043666;52.287521;20.976098
15628377;73521559;Entire home/apt;1;0;0;0;14;3;332;2017-06-29 15:03:52.058548;52.235063;21.004793
5949165;5488213;Entire home/apt;6;1;5;5;12;3;332;2017-06-29 15:03:52.068389;52.229288;20.991838
3644347;18405011;Entire home/apt;1;0;0;0;16;9;332;2017-06-29 15:03:52.047697;52.289669;21.080296
19566050;137491288;Entire home/apt;0;0;0;0;4;2;293;2017-06-29 15:36:11.416235;52.226156;21.013511
17888089;118145802;Entire home/apt;0;0;0;0;6;3;288;2017-06-29 15:03:49.946097;52.227184;21.015712
8764863;5488213;Entire home/apt;1;0;0;0;8;2;282;2017-06-29 15:03:50.753433;52.234568;21.021561
18518604;73521559;Entire home/apt;0;0;0;0;16;4;276;2017-06-29 15:03:50.760650;52.223575;21.019341
18103273;6272864;Entire home/apt;1;0;0;0;6;3;276;2017-06-29 15:03:49.928416;52.221344;21.011206
17524742;2684835;Entire home/apt;0;0;0;0;2;1;276;2017-06-29 15:03:49.930772;52.225298;21.020498
15965478;103691557;Entire home/apt;0;0;0;0;4;2;276;2017-06-29 15:03:49.948871;52.224054;20.998455
15939818;103459131;Entire home/apt;0;0;0;0;6;3;276;2017-06-29 15:03:49.951302;52.217935;21.025783
15280008;21512297;Entire home/apt;0;0;0;0;4;2;276;2017-06-29 15:03:50.777730;52.232702;20.987624
8404222;5488213;Entire home/apt;2;0;0;0;8;2;248;2017-06-29 15:03:50.772397;52.217463;21.020235
17630613;118321618;Entire home/apt;3;1;5;5;4;2;235;2017-06-29 15:03:49.933228;52.25999;21.037906
11012946;21512297;Entire home/apt;0;0;0;0;4;2;235;2017-06-29 15:03:50.782525;52.232651;20.987409
18590365;129089369;Entire home/apt;0;0;0;0;4;2;234;2017-06-29 15:03:49.935846;52.223483;21.017489
3290647;16503057;Entire home/apt;1;0;0;0;12;2;234;2017-06-29 15:03:49.954166;52.240276;20.984087
19480087;9306087;Entire home/apt;0;0;0;0;12;4;233;2017-06-29 15:03:50.775681;52.216586;21.023136
14683206;9306087;Entire home/apt;27;1;5;5;11;3;233;2017-06-29 15:03:49.925836;52.23146;20.994145
14662302;9306087;Entire home/apt;0;0;0;0;12;3;233;2017-06-29 15:03:50.785248;52.192629;20.989149
14660385;9306087;Entire home/apt;0;0;0;0;10;3;233;2017-06-29 15:03:50.780016;52.233949;21.016374
3788108;9306087;Entire home/apt;69;1;4,5;04,05,2017;10;2;233;2017-06-29 15:03:49.910878;52.2201;20.976523
452317;2247434;Entire home/apt;0;0;0;0;4;2;233;2017-06-29 15:03:49.960064;52.225184;21.013324
17646184;118328825;Entire home/apt;3;1;5;5;5;2;227;2017-06-29 15:03:49.938218;52.235787;21.051801
18747632;130422377;Entire home/apt;0;0;0;0;2;0;221;2017-06-29 15:03:50.766148;52.243075;20.997927
16385748;2896164;Entire home/apt;1;0;0;0;4;1;221;2017-06-29 15:03:49.920232;52.232013;21.055823
12976028;44718683;Entire home/apt;1;0;0;0;4;2;221;2017-06-29 15:03:49.956958;52.237018;21.053708
8404678;5488213;Entire home/apt;1;0;0;0;8;1;221;2017-06-29 15:51:21.141217;52.230349;20.991778
17800983;13752537;Entire home/apt;0;0;0;0;4;2;218;2017-06-29 15:03:49.962996;52.216519;20.978717
17800837;34141016;Entire home/apt;0;0;0;0;4;2;217;2017-06-29 15:03:50.750101;52.221019;20.988021
18338891;126890806;Entire home/apt;3;1;5;5;10;3;215;2017-06-29 15:03:49.914316;52.229838;21.016242
15214272;96661701;Entire home/apt;5;1;5;5;4;1;207;2017-06-29 15:03:49.916960;52.238368;21.012302
13592922;21512297;Entire home/apt;7;1;4,5;04,05,2017;6;2;207;2017-06-29 15:03:50.768752;52.227159;20.982166
5759553;21512297;Entire home/apt;6;1;4,5;04,05,2017;6;2;207;2017-06-29 15:03:49.922949;52.233515;20.986511
12041184;64462109;Entire home/apt;0;0;0;0;3;1;205;2017-06-29 15:03:47.902902;52.236764;21.021928
17801187;114513969;Entire home/apt;0;0;0;0;4;2;204;2017-06-29 15:03:47.867563;52.221557;20.979107
471640;2339194;Entire home/apt;0;0;0;0;6;3;199;2017-06-29 15:36:10.248057;52.269651;20.981046
17405212;27207084;Entire home/apt;0;0;0;0;8;2;198;2017-06-29 15:52:43.773954;52.225122;20.948234
17599281;51433780;Entire home/apt;0;0;0;0;3;2;194;2017-06-29 15:03:47.918187;52.257296;20.975732
15782126;35328976;Entire home/apt;0;0;0;0;8;4;194;2017-06-29 15:03:47.873217;52.201345;21.128244
14642515;5764852;Entire home/apt;2;0;0;0;4;2;194;2017-06-29 15:03:47.897573;52.226761;21.012793
1427497;5313873;Entire home/apt;0;0;0;0;7;4;194;2017-06-29 15:03:47.928703;52.185854;21.06997
229019;800327;Entire home/apt;3;1;4,5;04,05,2017;7;1;194;2017-06-29 15:03:47.885705;52.254231;21.049187
17764631;3186911;Entire home/apt;12;1;5;5;8;4;193;2017-06-29 15:03:47.861508;52.227885;21.05751
16964109;68501149;Entire home/apt;0;0;0;0;2;1;193;2017-06-29 15:03:47.892419;52.226545;21.018469
3247342;2384053;Entire home/apt;5;1;5;5;4;2;193;2017-06-29 15:03:47.906816;52.233225;20.98797
19210884;134430543;Private room;0;0;0;0;5;2;187;2017-06-29 13:40:10.120153;52.231189;20.968456
15580274;61820728;Entire home/apt;0;0;0;0;2;1;187;2017-06-29 15:03:47.911939;52.233207;21.016364
222807;707460;Private room;3;1;5;5;6;2;182;2017-06-29 13:40:08.881255;52.234543;20.987308
19148850;133885084;Entire home/apt;3;1;5;5;8;2;179;2017-06-29 15:03:42.002258;52.248341;21.012336
18144384;68959942;Entire home/apt;0;0;0;0;6;2;179;2017-06-29 15:03:43.432222;52.238078;21.006898
16683996;54947304;Entire home/apt;8;1;5;5;6;3;179;2017-06-29 15:03:42.040028;52.241064;21.017336
16335729;21512297;Entire home/apt;0;0;0;0;5;2;179;2017-06-29 15:03:45.252880;52.233783;20.98548
15933730;102840220;Entire home/apt;16;1;5;5;12;5;179;2017-06-29 15:03:42.006311;52.233663;21.024554
15444649;99057038;Entire home/apt;0;0;0;0;4;0;179;2017-06-29 15:03:43.458334;52.243804;20.980224
9792471;50468503;Entire home/apt;3;1;4,5;04,05,2017;8;4;179;2017-06-29 15:51:16.260406;52.248965;21.066719
19497986;136896491;Entire home/apt;0;0;0;0;6;3;175;2017-06-29 15:03:43.417352;52.224018;21.000325
19438066;136279778;Entire home/apt;0;0;0;0;7;2;175;2017-06-29 15:03:43.423381;52.222869;21.010039
19195060;134276089;Private room;0;0;0;0;4;1;175;2017-06-29 13:40:08.895016;52.181399;21.183323
17187049;29329262;Entire home/apt;8;1;5;5;4;2;175;2017-06-29 15:03:42.048903;52.237506;21.029154
11645781;2384053;Entire home/apt;3;1;5;5;6;3;175;2017-06-29 15:03:46.147297;52.25606;20.992661
6267719;5874520;Entire home/apt;7;1;4,5;04,05,2017;10;4;175;2017-06-29 15:03:45.236323;52.214603;21.021835
3178516;853007;Entire home/apt;13;1;4,5;04,05,2017;7;3;175;2017-06-29 15:03:45.220690;52.232155;21.019715
610456;853007;Entire home/apt;43;1;4;4;16;10;175;2017-06-29 15:03:45.256391;52.233692;21.018833
481030;2381794;Entire home/apt;63;1;5;5;14;6;175;2017-06-29 15:03:42.012963;52.155405;20.928131
17281982;27207084;Entire home/apt;0;0;0;0;10;3;174;2017-06-29 15:52:42.969251;52.221565;20.98137
14662793;9306087;Entire home/apt;7;1;4,5;04,05,2017;10;3;174;2017-06-29 15:03:43.413220;52.256296;20.992737
12142511;9306087;Entire home/apt;27;1;4;4;16;3;174;2017-06-29 15:03:45.250119;52.226835;21.013993
11859548;9306087;Entire home/apt;32;1;4,5;04,05,2017;12;4;174;2017-06-29 15:03:45.241878;52.221112;20.97576
2984818;15220641;Entire home/apt;4;1;4,5;04,05,2017;6;2;174;2017-06-29 15:36:03.623952;52.243278;21.050037
2626176;13449873;Entire home/apt;41;1;4;4;3;1;174;2017-06-29 15:03:45.225677;52.243735;20.990066
19069934;27207084;Entire home/apt;3;0;3,5;03,05,2017;14;3;172;2017-06-29 15:03:45.244071;52.230529;20.992513
